"Requirement ID","Parent Requirement ID","Requirement Level","Title","Requirement Description","Requirement Type","Source Artifact","Source ID","Owner","Author","Priority","Business Value / Impact","Target Release","Related User Story ID","Acceptance Criteria Ref","Test Case ID","Test Phase","Defect ID","Status","Sign-off Owner","Creation Date","Last Updated Date","Comments / Remarks","Workflow State or Transition","Decision or Capability ID","Planned Screen ID","Event ID","Data Contract Reference","Prototype Scenario"
"NFR-03","BR-03","NFR","Recovery and idempotency","Ensure represented duplicate, retry, correction and outage behaviours preserve the last verified state and do not advance work twice.","NFR","Sprint 4 event/recovery contract","AP-10; EVT-19; EVT-21","All authorised actors","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","N/A — cross-cutting or business requirement","AC-NFR-03-01; AC-NFR-03-02","UAT-NFR-03","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; cross-cutting UAT planned","All stages","Idempotency and recovery","SCR-01; SCR-07; SCR-09","EVT-19; EVT-21","event key; last verified state; recovery refs","PS-02; PS-03"
"NFR-04","BR-01","NFR","Accessibility","The clickable prototype must support keyboard operation, visible focus, logical reading order, text alternatives and non-colour-only status/error meaning for all critical workflow actions.","NFR","Project-local design standards; Sprint 5 scope","Accessibility controls","All authorised actors","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","N/A — cross-cutting or business requirement","AC-NFR-04-01; AC-NFR-04-02; AC-NFR-04-03","UAT-NFR-04","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; design check planned","All stages","Accessibility","ALL","Not applicable","interactive controls; status text; focus order","PS-01 to PS-05"
"NFR-05","BR-02","NFR","Role-based visibility","Show each role only the minimum workflow information and actions required for its approved responsibility.","NFR","Sprint 2 decision rights; Sprint 3 permissions; Sprint 4 AP-08","DR03-DR21; AP-08","All authorised actors","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","N/A — cross-cutting or business requirement","AC-NFR-05-01; AC-NFR-05-02; AC-NFR-05-03","UAT-NFR-05","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; role tests planned","All stages","Least privilege","ALL","EVT-01 to EVT-22","actor role; permitted action; access context","PS-01 to PS-05"
"NFR-06","BR-03","NFR","Error communication","Present errors and blocked states in plain language with the known condition, affected work, safe next action and accountable owner where applicable.","NFR","Sprint 2 failure paths; Sprint 4 recovery rules","E01-E13","All authorised actors","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","N/A — cross-cutting or business requirement","AC-NFR-06-01; AC-NFR-06-02; AC-NFR-06-03","UAT-NFR-06","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; error tests planned","Exception states","Understandable errors","SCR-01; SCR-07","EVT-19; EVT-21","condition; affected work; owner; safe action","PS-02; PS-03; PS-04"
"NFR-07","BR-01","NFR","Audit completeness","Require the defined audit fields for material workflow, human-decision, AI-review, exception, communication, correction and recovery events.","NFR","Sprint 1 success metrics; Sprint 4 audit contract","Audit completeness; CAP-09","All authorised actors","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","N/A — cross-cutting or business requirement","AC-NFR-07-01; AC-NFR-07-02; AC-NFR-07-03","UAT-NFR-07","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; audit tests planned","All material stages","Audit completeness","SCR-09","EVT-01 to EVT-22","required audit fields by event","PS-01 to PS-05"
"NFR-08","BR-02","NFR","High-risk action confirmation","Require clear review and explicit confirmation before a user records a high-risk human-controlled action.","NFR","Sprint 2 decision rights; Sprint 4 AP-06","DR08-DR19; AP-06","Clinic physician; Referral Coordinator; Care Coordinator","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","N/A — cross-cutting or business requirement","AC-NFR-08-01; AC-NFR-08-02; AC-NFR-08-03","UAT-NFR-08","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; confirmation tests planned","Human-gated states","High-risk confirmation","SCR-03; SCR-04; SCR-05; SCR-10","EVT-10 to EVT-18; EVT-22","action; actor; current version; confirmation evidence","PS-01; PS-03; PS-05"
"NFR-09","BR-01","NFR","Prototype responsiveness","Provide an immediate visible response to a user action or an explicit loading/unavailable state in the clickable prototype.","NFR","Sprint 5 prototype-definition decision","Prototype responsiveness","All authorised actors","Portfolio product owner","Should","Creates bounded workflow visibility without replacing source systems.","Sprint 6","N/A — cross-cutting or business requirement","AC-NFR-09-01; AC-NFR-09-02","UAT-NFR-09","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Sprint 5 design requirement; test planned","All interactive screens","Usability response","ALL","Not applicable","interaction state; loading/unavailable status","PS-01 to PS-05"
"TR-01","BR-01","TR","Launch and source context","Use a simulated SMART-on-FHIR launch and synthetic FHIR R4-shaped Patient, Encounter, ServiceRequest, DiagnosticReport, Observation and Practitioner resources.","TR","Sprint 3 FHIR map/permissions; Sprint 4 SMART/fixtures","S4-AD02; S4-AD12; S4-AD13","Clinic physician; Product/platform administrator","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","N/A — cross-cutting or business requirement","Register acceptance criterion","UAT-TR-01","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; technical test planned","Pre-episode launch","Simulated SMART/FHIR","SCR-01","EVT-01; EVT-02; EVT-03","Patient; Encounter; ServiceRequest; DiagnosticReport; Observation; Practitioner","PS-01"
"TR-02","BR-01","TR","Internal orchestration","Represent internal workflow tasks, exceptions and audit evidence separately from synthetic source resources.","TR","Sprint 3 integration flow; Sprint 4 architecture","S4-AD03; S4-AD13","Product/platform administrator","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","N/A — cross-cutting or business requirement","Register acceptance criterion","UAT-TR-02","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; technical test planned","All workflow states","Internal orchestration","SCR-02; SCR-07; SCR-09","EVT-04 to EVT-22","continuum_task; exception; audit","PS-01; PS-02; PS-03"
"US-01","BR-02","User story","Episode initiation and direction","As a Clinic physician, I want the verified source order and current report context visible so that I can make and record the required human clinical direction without relying on an AI output.","User story","Sprint 1 transition table; Sprint 2 DR matrix","T01; T08; DR01; DR10","Clinic physician","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-01","Register acceptance criterion","UAT-US-01","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned through mapped FRs","Order Created; Follow-up Decision Required","FR-17; FR-08","SCR-02; SCR-04","EVT-05; EVT-11","source order; report context; direction","PS-01"
"US-02","BR-03","User story","Linkage verification","As an Identity reconciliation reviewer, I want uncertain patient or encounter linkage quarantined with its source evidence so that I can confirm or reject attachment safely.","User story","Sprint 1 transition table; Sprint 2 DR matrix","E01; E02; DR03","Identity reconciliation reviewer","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","US-02","Register acceptance criterion","UAT-US-02","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned through mapped FRs","Patient Match Failed; Encounter Missing","FR-03","SCR-07","EVT-04","linkage candidates; decision evidence","PS-02"
"US-03","BR-01","User story","Diagnostic operations","As a Diagnostic operations user, I want acceptance, scheduling, completion and operational exceptions shown separately so that workflow status reflects verified source reality.","User story","Sprint 1 transition table; Sprint 2 DR matrix","T01; T02; T03; E03; E04; DR04-DR06","Diagnostic operations user","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","US-03","Register acceptance criterion","UAT-US-03","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; detailed FR-26 path deferred","Order Accepted; Diagnostic Scheduled; Diagnostic Completed; Result Incomplete","FR-18; FR-19; FR-20; FR-26","SCR-02; SCR-07","EVT-06; EVT-19","operational status; order; exception evidence","PS-01; PS-02"
"US-04","BR-02","User story","Clinical review","As a Clinic physician, I want the current report version and my acknowledgement task clearly shown so that I can review and acknowledge the correct version and re-review amendments.","User story","Sprint 1 transition table; Sprint 2 DR matrix","T04; T05; T06; E05; E06; DR08; DR09","Clinic physician","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-04","Register acceptance criterion","UAT-US-04","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned through mapped FRs","Result Available; Clinical Review Pending; Result Acknowledged; Amended Result Received","FR-05; FR-06; FR-21; FR-25; FR-31; FR-32","SCR-03","EVT-07 to EVT-10","report version; assignment; acknowledgement; stale refs","PS-01; PS-03"
"US-05","BR-03","User story","Operational coordination","As a Care Coordinator, I want an active episode workspace and owned exception work so that I can coordinate blockers, ageing and evidence without taking clinical or identity decisions.","User story","Sprint 1 decisions; Sprint 2 DR matrix","D02; D10; DR18; DR19","Care Coordinator","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","US-05","Register acceptance criterion","UAT-US-05","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned through mapped FRs","All active and exception states","FR-04; FR-07; FR-12; FR-13","SCR-02; SCR-07","EVT-09; EVT-19; EVT-21","task; owner; SLA; blocker; safe return","PS-01; PS-02; PS-03"
"US-06","BR-02","User story","Referral handoff","As a Referral Coordinator, I want to prepare, review and route a complete handoff only after physician approval so that receiving-team responsibility can be tracked without AI sending or approving it.","User story","Sprint 1 transition table; Sprint 2 DR matrix","T09; T10; E08; DR12; DR13","Referral Coordinator","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-06","Register acceptance criterion","UAT-US-06","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned through mapped FRs","Referral Created; Referral Rejected","FR-09; FR-16; FR-27","SCR-05; SCR-08","EVT-12; EVT-13; EVT-14; EVT-20","direction; draft; package; route; response","PS-01; PS-05"
"US-07","BR-02","User story","Receiving response","As a Receiving-team user, I want to record acceptance or rejection with destination and timeframe so that downstream ownership is explicit.","User story","Sprint 1 transition table; Sprint 2 DR matrix","T10; E08; E09; DR11","Receiving team","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-07","Register acceptance criterion","UAT-US-07","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned through mapped FRs","Referral Created; Referral Accepted; Referral Rejected","FR-10; FR-27","SCR-06","EVT-14","receiving response; destination; timeframe; reason","PS-01"
"US-08","BR-02","User story","Confirmation and closure","As a Care Coordinator, I want to verify pathway-specific owner, timeframe, handoff and communication evidence so that I can record a confirmed next step and scoped workflow completion without claiming broader care completion.","User story","Sprint 1 transition table; Sprint 2 DR matrix","T11; T14; D17; DR19","Care Coordinator; authorised communication owner","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-08","Register acceptance criterion","UAT-US-08","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned through mapped FRs","Next Step Confirmed; Episode Completed","FR-11; FR-22; FR-24; FR-30","SCR-10","EVT-16; EVT-17; EVT-18; EVT-22","owner; timeframe; handoff; communication; closure","PS-01"
